Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Análise de viabilidade técnica-comercial de simuladores do tecido biológico para procedimentos guiados por ultrassom;;;;;;Ciências da Saúde;Medicina;;Didática:Simulação (aprendizagem):Ultrassom; 
Estudo de aços inoxidáveis modificados com boro e nitrogênio visando a obtenção de materiais resistentes ao desgaste e com baixo coeficiente de atrito;Universidade Federal de São Carlos (UFSCAR). Centro de Ciências Exatas e de Tecnologia (CCET);São Carlos;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Metalurgia Física;Conformação por spray:Desgaste dos materiais:Aço inoxidável; 
Apoio a projeto de pesquisa sobre processos de fabricação, confecção e embalagem automatizada de sorvetes, partindo de modelos feitos em software 3D e de um sistema inteligente que possibilite a aplicação do produto final nos 3 setores típicos de mercado;;;;;;Engenharias;Engenharia Mecânica;Projetos de Máquinas;Visão computacional:Inteligência artificial:Robótica; 
Sistema de auxílio a tomada de decisão no controle de requeima em cultivo de tomate;;;;;;Ciências Agrárias;Engenharia Agrícola;;Tomada de decisão:Sensores:Aplicativos móveis:Requeima:Tomate:Fungicidas; 
"Estabelecimento de uma """"pipeline"""" baseada em Cristalografia de Raios-X para análises estruturais de transportadores em membranas";Universidade de São Paulo (USP). Instituto de Física de São Carlos (IFSC);São Carlos;;;;Ciências Biológicas;Biofísica;Biofísica Molecular;Proteínas da membrana:Cristalografia de raios X:Bactérias gram-negativas:Biocombustíveis; 
Aproveitamento do extrato residual de Artemisia annua L., resultante da extração do sesquiterpeno antimalárico, em aplicações cosméticas;;;;;;Ciências da Saúde;Farmácia;Farmacotecnia;Cosmetologia:Artemisia annua:Extratos vegetais:Antimaláricos:Produtos naturais:Sustentabilidade; 
Caracterização Espectral de Solos Contaminados com Hidrocarbonetos Líquidos: Aplicações Potenciais no Monitoramento de Vazamentos em Instalações Petrolíferas e Dutos de Transporte Associados;Universidade Estadual de Campinas (UNICAMP). Instituto de Geociências (IG);Campinas;;;;Ciências Exatas e da Terra;Geociências;Geologia;Sensoriamento remoto:Poluição ambiental:Contaminação ambiental; 
Sistema de auxílio à tomada de decisão no controle de requeima em cultivo de tomate;;;Circuitar Eletrônicos, Importação e Exportação Ltda. - ME;São Carlos;;Ciências Agrárias;Engenharia Agrícola;;Agricultura:Requeima:Doenças de plantas:Phytophthora infestans:Cultivos agrícolas:Tomate:Tomada de decisão:Aplicativos móveis; 
Sistema nanoestruturado contendo fungicidas comerciais e naturais para a agricultura;;;Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;São Carlos;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Nanotecnologia:Óleos essenciais:Fungicidas:Agricultura:Soja; 
Unidade móvel, autônoma, automatizada e remotamente monitorada para tratamento de esgoto e geração de água de reuso por meio de vermifiltração com pós tratamento físico-químico;;;MarquesParizotto Engenharia S/S;São Carlos;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Automação:Tratamento de esgotos sanitários:Reúso da água:Tratamento físico-químico; 
Brinquedos conectados inteligentes;;;SmarToys Ltda. - ME;Sorocaba;;Interdisciplinar;;;Mecatrônica:Internet:Criatividade:Brinquedos:Psicopedagogia; 
Síntese e aplicação de materiais fungicidas nanoestruturados;;;Nanox Tecnologia S/A;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanotecnologia:Nanocompósitos:Síntese química:Anti-infecciosos:Bactericidas:Fungicidas; 
Placa de aquisição e processamento digital de sinais - SPOS2;;;Bradar Indústria S/A;São José dos Campos;;Engenharias;Engenharia Elétrica;Telecomunicações;Processamento de sinais:Processamento digital de imagens:Sistemas embarcados:Dispositivos de lógica programável:Circuitos FPGA; 
Produção da proteína STC1 e anticorpos monoclonais para fins terapêuticos ou de acompanhamento da resposta clínica na leucemia linfóide aguda;;;Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas;;Ciências Biológicas;Biologia Geral;;Anticorpos monoclonais:Ensaio de imunoadsorção enzimática:Leucemia linfoide:Testes imunológicos; 
Análise em larga-escala da função dos microRNAs no ciclo celular, pluripotência, auto-renovação e diferenciação de células-tronco utilizando High Content Screening;Secretaria da Saúde (São Paulo - Estado). Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da USP (HCMRP). Hemocentro de Ribeirão Preto;Ribeirão Preto;;;Max Planck Society, Dresden;Ciências da Saúde;Medicina;Clínica Médica;Células-tronco:Células-tronco embrionárias:Ciclo celular:Diferenciação celular:MicroRNAs:Pluripotência; 
Análise dos resultados e tipos de erros de crianças com deficiência intelectual expostas a um programa de ensino de leitura e escrita;Universidade Estadual Paulista (UNESP). Campus de Bauru. Faculdade de Ciências (FC);Bauru;;;;Ciências Humanas;Psicologia;;Psicologia:Deficiência intelectual:Ensino e aprendizagem:Escrita:Leitura:Atividade motora:Avaliação de necessidades educacionais:Análise de erros; 
Soldagem a laser de aços avançados de alta resistência mecânica no campo bainítico para aplicações aeroespaciais;Ministério da Defesa (Brasil). Departamento de Ciência e Tecnologia Aeroespacial (DCTA). Instituto de Estudos Avançados (IEAv);São José dos Campos;;;Colorado School of Mines;Engenharias;Engenharia Aeroespacial;;Soldagem:Soldagem a laser:Aço de alta resistência; 
7 maravilhas antigas em realidade virtual;;;;;;Interdisciplinar;;;Arqueologia:Computação gráfica:Realidade virtual:História antiga:Métodos de ensino; 
SMAA 7: Sistema de Monitoramento Ambiental Aquático;;;;;;Ciências Exatas e da Terra;Geociências;;Monitoramento ambiental:Segurança ambiental:Vazamento de resíduos químicos:Petróleo:Pré-sal:Inovações tecnológicas:Tecnologia submarina:Sensores:Alarme:Brasil; 
IntelliFerti: equipamento de fertirrigação inteligente;;;;;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Fertirrigação:Cultivo protegido:Controle de processos:Nutrição vegetal:Tecnologia sem fio:Redes de monitoramento; 
Produção de insetos e desenvolvimento de uma nova metodologia e dispositivo para infestação artificial de experimentos a campo com ovos de lepidópteros;;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Entomologia agrícola:Insetos:Pragas de plantas:Algodão:Milho:Soja:Lepidópteros:Helicoverpa armigera; 
Pesquisa e desenvolvimento de software para otimização espacial de operações mecanizadas;;;;;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Desenvolvimento de software:Robótica:Agricultura de precisão:Conservação do solo; 
Estudo termodinâmico da formação e dissociação de hidratos de gás;Universidade de São Paulo (USP). Escola Politécnica (EP);São Paulo;;;;Engenharias;Engenharia Química;;Dióxido de carbono:Metano:Termodinâmica:Equilíbrio sólido-líquido:Diagrama de transformação de fase:Calorimetria; 
Phage Orthologous Clusters: Um banco de dados de informações de fagos;Universidade de São Paulo (USP). Instituto de Química (IQ);São Paulo;;;University of Victoria (UVic);Interdisciplinar;;;Bacteriófagos:Bioinformática:Metagenômica:Biologia computacional:Banco de dados; 
Plataforma mobile de organização de plantões médicos - MEDTIME®;;;Medtech Serviços de Informática Ltda;São Paulo;;Ciências da Saúde;Medicina;;Administração hospitalar:Tecnologia sem fio:Plantão médico:Tecnologia da informação:Aplicativos móveis:Smartphone:Tablet (dispositivos móveis); 
Desenvolvimento de molde em alumínio anodizado com perfil externo cilíndrico, corrugadora e cabeçote para conformação a vácuo na fabricação de dutos corrugados em polietileno de alta densidade;;;Techduto Indústria e Comércio de Máquinas e Artefatos de Plásticos Ltda;São José dos Campos;;Engenharias;Engenharia Mecânica;;Produção industrial:Dutos:Polietileno:Drenagem urbana:Extrusão (conformação mecânica); 
Estudo e desenvolvimento de um sistema de medida de transmitância em películas de vidros automotivos;;;Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;São Carlos;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Vidros automotivos:Segurança no trânsito:Normas de segurança:Colorimetria; 
Desenvolvimento de AGV tipo paleteira com sistema de registro de trajetórias por repetição de movimentos com autonomia de operação e sustentabilidade energética;;;Citi Industrial Systems Eireli - EPP;Sorocaba;;Interdisciplinar;;;Engenharia automotiva:Veículos guiados remotamente:Processos industriais:Energia renovável:Capacitores; 
RH - plataforma para seleção de mão dupla em biotecnologia;;;Biotech-Space Rede de Pesquisadores de Biotecnologia e Biociências Ltda. - ME;Campinas;;Interdisciplinar;;;Administração de recursos humanos:Seleção de pessoal:Recursos humanos:Capital humano:Mercado de trabalho:Pesquisadores; 
Desenvolvimento de lipossomas para aplicação dermatológica na prevenção e no tratamento da acne;;;Libera Tecnologia e Inovação Ltda;São Paulo;;Engenharias;Engenharia Química;Tecnologia Química;Nanotecnologia:Cosmetologia:Cosméticos:Lipossomos:Pele:Acne vulgar:Propionibacterium acnes; 
Desenvolvimento de anticorpos monoclonais e aptâmeros anti-troponina I para diagnóstico rápido de doenças cardiovasculares;;;Dnapta Biotecnologia Ltda;São José do Rio Preto;;Ciências da Saúde;Medicina;;Doenças cardiovasculares:Infarto do miocárdio:Biomarcadores:Troponina I:Aptâmeros de nucleotídeos; 
Projeto hydroflex: sistema gerador de hidrogênio/oxigênio para veículos automotores;;;Hidroflex Indústria e Participações Ltda;São Carlos;;Ciências Exatas e da Terra;Química;;Oxigênio:Hidrogênio:Combustíveis:Eletrólise:Veículos automotores; 
Implantação de procedimentos de extração e quantificação de proteínas em plantas geneticamente modificadas pela técnica de ELISA (Enzyme Linked Immunono Sorbent Assay);;;ALS Laboratórios LS Ltda;São Paulo;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;Análise de alimentos:Segurança alimentar:Reação em cadeia por polimerase (PCR):Organismos geneticamente modificados:Soja:Milho; 
Uso de diopsidito como corpo moedor para moinhos de bola;;;;;;Engenharias;Engenharia de Minas;Tratamento de Minérios;Mineralogia:Cominuição:Indústria da cerâmica e argila:Moagem:Moinhos:Diopsídio; 
Treinamento técnico em design de som e assistência à produção para jogos de reabilitação de AVC;;;;;;Engenharias;Engenharia Biomédica;Bioengenharia;Acidente vascular cerebral:Engenharia de reabilitação:Reabilitação (terapêutica médica):Robótica de reabilitação:Terapia por exercício; 
Desenvolvimento de linhagem congênica de bovinos da raça Nelore com mutação no gene da miostatina;;;;;;Ciências Biológicas;Genética;Genética Animal;Gado Nelore:Miostatina:Embrião de animal:Bovinos; 
Influência do pré-tratamento da biomassa na extração por CO2 supercrítico: preservação dos ativos de alto valor agregado e redução de custos de processo;;;;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;Biomassa:Dióxido de carbono:Açafrão:Gengibre:Babaçu:Biorrefinarias:Redução de custos; 
Efeito da colecistocinina na disfunção da barreira epitelial intestinal induzida pela inflamação sistêmica;Universidade de São Paulo (USP). Faculdade de Medicina de Ribeirão Preto (FMRP);Ribeirão Preto;;;;Ciências Biológicas;Fisiologia;Fisiologia de Órgãos e Sistemas;Citocinas:Junções íntimas:Inflamação:Sepse; 
Aplicativo para aumentar a adesão a tratamentos de saúde;;;;;;Ciências da Saúde;Saúde Coletiva;Saúde Pública;Doença crônica:Cooperação e adesão ao tratamento; 
Caracterização microestrutural de massas de monoporosa;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais cerâmicos:Difração por raios X; 
Influência do pré tratamento da biomassa na extração por CO2 supercrítico: preservação dos ativos de alto valor agregado e redução de custos de processo;;;Bioativos Naturais Ltda. - ME;São Paulo;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência de Alimentos;Babaçu:Curcuma:Gengibre:Biorrefinarias:Biomassa:Extração com fluido supercrítico:Dióxido de carbono; 
Pesquisa e desenvolvimento visando a produção de masterbatches condutivos para indústria de transformação de polímeros;;;IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Valinhos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Polímeros (materiais):Processos de transformação de polímeros:Extrusão de polímeros:Termoplásticos:Resinas sintéticas:Polianilina; 
Aprimoramento do processo de recobrimento de nanofilmes de carbono e prata pela tecnologia de plasma frio sobre materiais cirúrgicos visando a biocompatibilidade e biointegração;;;BioTecnoVale Pesquisa e Desenvolvimento Ltda. - EPP;São José dos Campos;;Engenharias;Engenharia Biomédica;Bioengenharia;Nanotecnologia:Cirurgia:Biomateriais:Teste de biocompatibilidade:Tecnologia de plasma; 
Desenvolvimento de um processo escalonável para a produção de emulsões lipídicas utilizadas em nutrição parenteral;;;Lipid Ingredients & Technologies Ltda. - ME;Ribeirão Preto;;Ciências da Saúde;Farmácia;Farmacotecnia;Nutrição parenteral:Tecnologia farmacêutica:Nanotecnologia:Nanoemulsão:Emulsões (formas farmacêuticas); 
Estudo de viabilidade de um procedimento para avaliar os efeitos do espaço sem flutuadores que ocorre na conexão entre duas juntas de riser de perfuração no fenômeno das VIV;;;DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda;Campinas;;Engenharias;Engenharia Naval e Oceânica;Projeto de Navios e de Sistemas Oceânicos;Risers:Perfuração marítima; 
Desenvolvimento de uma armadilha feromonal para o controle do carrapato bovino Ripicephalus (Boophilus) microplus;;;Decoy Tecnologia em Controle de Pragas S/A;Ribeirão Preto;;Ciências Biológicas;Ecologia;Ecologia Aplicada;Ecologia química:Saúde animal:Bovinocultura:Feromônios:Parasitos:Carrapatos:Boophilus microplus:Controle biológico; 
