Empresa;Área do Conhecimento;Subárea do Conhecimento
Br4science Assessoria Técnica Científica Ltda;Engenharia Biomédica;Engenharia Médica
Expertise Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Agro Red Bio - Tecnologia Ltda;Microbiologia;Microbiologia Aplicada
I.Systems Automação Industrial S/A;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Tezca Pesquisa e Desenvolvimento de Células Solares Ltda (TEZCA);Química;Química Inorgânica
Viegas Informática Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Clave Biotecnologia Serviços e Consultoria Ltda. - EPP;Bioquímica;Biologia Molecular
Areda e Escudeiro Ltda. - ME;Farmácia;Farmacotecnia
Cromática Sistemas de Comunicação de Dados e Informática Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Lucotec Mecânica Industrial Ltda;Engenharia Mecânica;Processos de Fabricação
Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda;Engenharia Biomédica;Engenharia Médica
Novo Mel Biotecnologia e Análises Laboratoriais Ltda;Odontologia;Materiais Odontológicos
Excelchip Sistemas Eletrônicos Ltda (Excelchip);Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Recaltech Desenvolvimento em Metalurgia Ltda;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
Aquaplant Comercial Ltda;Agronomia;Fitotecnia
Viatech Indústria, Comércio e Prestação de Serviço Ltda;Engenharia Mecânica;Projetos de Máquinas
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
WSGB Laboratórios Ltda;Química;Físico-química
Orbital Engenharia S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Plasmacro Indústria e Comércio de Polímeros Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Commodity Systems Empreendimentos e Participações Ltda;Engenharia Elétrica;Telecomunicações
Yago Lascane Consultoria em Pesquisa e Desenvolvimento de Produtos Ltda;Química;Química Orgânica
Deoxi Biotecnologia Ltda;Medicina Veterinária;Reprodução Animal
Atenatec Soluções Tecnológicas Ltda. - ME;Ciência da Computação;Sistemas de Computação
CLB Engenharia Consultiva S/S Ltda;Engenharia de Transportes;Operações de Transportes
Alexandre Rodrigues da Silva Software;Economia;Economias Agrária e dos Recursos Naturais
EXA M Instrumentação Biomédica Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Veridis Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Technomar Engenharia Ltda;Engenharia de Produção;Engenharia do Produto
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME;Farmácia;Farmacognosia
Probiom Tecnologia Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME;Química;Química Inorgânica
Polikem Tecnologia em Polímeros Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Solo Sapiens Indústria e Comércio de Inoculantes Ltda;Microbiologia;Microbiologia Aplicada
Recepta Biofarma S/A (Recepta);Imunologia;Imunologia Aplicada
ALS Laboratórios LS Ltda;Microbiologia;Microbiologia Aplicada
CNPN Indústria e Comércio de Embalagens Ltda. - ME;Engenharia de Produção;Engenharia do Produto
Mobwise Consultoria em Engenharia e Softwares Ltda;Ciência da Computação;Sistemas de Computação
Nanobras Indústria e Comércio de Produtos Químicos Ltda. - ME;Química;Química Inorgânica
Brsensor Indústria Brasileira de Sensores Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
R4F Tecnologia em Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Phyton Fórmulas Magistrais e Oficinas Ltda;Nutrição;Bioquímica da Nutrição
Ranaville Agroindústria Ltda. - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Wmancer Technologies Desenvolvimento e Produção de Software Ltda;Educação;Tópicos Específicos de Educação
Guatifer Usinagem e Ferramentaria Ltda (Guatifer);Engenharia Aeroespacial;Propulsão Aeroespacial
Agricef Soluções Tecnológicas para Agricultura Ltda (Agricef);Engenharia Agrícola;Máquinas e Implementos Agrícolas
Tecnologia e Ciência Educacional Ltda (TECE);Educação;Tópicos Específicos de Educação
Nantex Nanotecnologia Experimental Ltda;Física;Física da Matéria Condensada
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda;Química;Química Analítica
Fibrel Indústria e Comércio de Materiais Plásticos Reforçados e Luminárias Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Lumintech Marcadores Ópticos Ltda;Imunologia;Imunoquímica
Welding Science Medar Comércio e Serviços de Equipamentos Eletrônicos Ltda. - EPP;Engenharia Mecânica;Processos de Fabricação
Infomobile Tecnologia em Software Ltda;Ciência da Computação;Sistemas de Computação
Lumintech Marcadores Ópticos Ltda;Engenharia Química;Tecnologia Química
Corollarium Tecnologia Ltda;Ciência da Computação;Sistemas de Computação
Incon Eletrônica Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Empromec Indústria e Comércio de Instrumentos Odontológicos Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
GTAC Soluções em Aviação Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Muteki Automação Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Unigen Tecnologia do DNA Ltda;Genética;Genética Animal
Cotec Tintas Serigráficas Ltda. - EPP;Engenharia Química;Tecnologia Química
Bio Controle Métodos de Controle de Pragas Ltda;Agronomia;Fitossanidade
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Elétrica;Telecomunicações
Dnapta Biotecnologia Ltda;Medicina Veterinária;Reprodução Animal
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
Millebolleblu Cosméticos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Roberta Baptista Rodrigues - ME;Engenharia Sanitária;Recursos Hídricos
Partículas Desenvolvimento e Tecnologia em Materiais Ligno Celulósicos Ltda;Recursos Florestais e Engenharia Florestal;Tecnologia e Utilização de Produtos Florestais
Opto Médica Equipamentos Ltda;Física;Física da Matéria Condensada
Transfix Transplante de Embriões Ltda;Medicina Veterinária;Reprodução Animal
CHEM4U Indústria e Comércio de Equipamento e Produtos Químicos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda (Rheabiotec);Imunologia;Imunologia Aplicada
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora);Farmácia;Farmacognosia
Solbet Indústria e Comércio Ltda;Medicina;Clínica Médica
Clansoft Desenvolvimento de Software Ltda;Ciência da Computação;Sistemas de Computação
Qualicert Gestão e Qualificação Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Nelis Evangelista Luiz - ME;Engenharia de Produção;Engenharia do Produto
Utep do Brasil Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Veritas Biotecnologia Ltda (VLS);Bioquímica;Química de Macromoléculas
;Odontologia;Odontologia Social e Preventiva
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Geociências;Geofísica
;Química;Química Inorgânica
Oralls Importação e Exportação Comercial Ltda. - ME;Odontologia;Odontologia Social e Preventiva
Inovamat Inovações em Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
KNBS Telecomunicações e Informática Ltda;Ciência da Computação;Sistemas de Computação
;Genética;Genética Molecular e de Microorganismos
;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
;Química;Química Analítica
;Medicina Veterinária;Reprodução Animal
Ambihidro Engenharia Ambiental e de Recursos Hídricos Ltda. - ME;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Tech Chrom Instrumentos Analíticos Ltda. - ME;Química;Química Analítica
Ujima Software Ltda;Ciência da Computação;Sistemas de Computação
Cesnas Materials Ltda;Química;Química Inorgânica
Inojossa Serviços de Fisioterapia e Ortopedia Ltda;Engenharia Biomédica;Bioengenharia
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Genética;Genética Molecular e de Microorganismos
Transdata Indústria e Comércio de Automação Ltda;Ciência da Computação;Sistemas de Computação
Veritas Biotecnologia Ltda (VLS);Bioquímica;Química de Macromoléculas
Asel Tech Tecnologia e Automação Ltda;Engenharia Mecânica;Fenômenos de Transportes
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Fexmedia Indústria e Comércio de Equipamentos e Tecnologia Ltda;Engenharia Elétrica;Telecomunicações
Farmacore Biotecnologia Ltda (FARMACORE);Bioquímica;Biologia Molecular
Intense Soluções em Desenvolvimento Óptico Ltda. - EPP;Engenharia Biomédica;Engenharia Médica
Coss Soluções e Tecnologia Ltda;Saúde Coletiva;Saúde Pública
Cabarello Consultoria em Tecnologia Científica Ltda. - ME;Microbiologia;Microbiologia Aplicada
EXA M Instrumentação Biomédica Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Proteimax Consultoria S/S Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
Griaule Biometrics Ltda;Ciência da Computação;Sistemas de Computação
I.Systems Automação Industrial S/A;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Verdartis Desenvolvimento Biotecnológico Ltda. - ME;Bioquímica;Química de Macromoléculas
Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda;Engenharia Biomédica;Engenharia Médica
Chemyunion Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
Chemyunion Ltda;Química;Química Orgânica
Apis Flora Industrial e Comercial Ltda;Farmácia;Farmacotecnia
;Ciência da Computação;Sistemas de Computação
;Odontologia;Odontopediatria
;Ciência da Computação;Teoria da Computação
;Genética;Mutagênese
Verdartis Desenvolvimento Biotecnológico Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Foco do Brasil Indústria e Comércio Ltda. - ME;Engenharia de Produção;Engenharia do Produto
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
;Engenharia Química;Processos Industriais de Engenharia Química
;Genética;Genética Animal
Genética Aplicada a Atividades Veterinárias Ltda. - ME;Genética;Genética Animal
Ophatalmos S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Luis Felipe Uebel - ME;Ciência da Computação;Sistemas de Computação
Geologia Água e Meio Ambiente Ltda (GEOMA);Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Abili Assessoria Técnica Comercial e Tecnologia da Informação Ltda (Abili);Engenharia Civil;Construção Civil
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
DMC Importação e Exportação de Equipamentos Ltda;Engenharia Biomédica;Bioengenharia
Nanopol Inovação e Pesquisa de Compósitos Poliméricos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Engenharia Aeroespacial;Sistemas Aeroespaciais
Powerhawke Soluções Inovadoras em Telecomunicações e Automação Ltda;Engenharia Elétrica;Telecomunicações
Boltech Desenvolvimento de Sistemas e Tecnologia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Tutus Comércio e Serviços de Comunicação de Dados Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Red, Orange and Green Tecnologias Ambientais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Technomar Engenharia Ltda;Engenharia Naval e Oceânica;Hidrodinâmica de Navios e Sistemas Oceânicos
Wavetek Tecnologies Industria, Comércio, Importação e Exportação de Produtos Médicos Ópticos Ltda (Wavetek);Engenharia Biomédica;Engenharia Médica
Sapra S/A;Engenharia Biomédica;Engenharia Médica
Schiemann Pesquisas Químicas Ltda;Química;Físico-química
Vellyfarm Biossistemas Sociais Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Directlight Indústria e Comércio de Produtos Eletroluminescentes Ltda;Engenharia de Transportes;Veículos e Equipamentos de Controle
Loccircuits Internacional Indústria e Comércio de Instrumentos Analíticos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Berrocal & Associados Soluções e Inovações Geofísicas Ltda;Geociências;Geofísica
Gene ID S/A;Química;Química Analítica
Hidrolisis Avaliações Analíticas e Novos Processos Ltda;Engenharia Química;Tecnologia Química
Natureza Ativa Indústria e Comércio de Fotoreator Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Bioactive Tecnologia em Polímeros Ltda;Odontologia;Materiais Odontológicos
Neuron Engenharia e Comércio de Equipamentos Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME;Química;Química Analítica
Orbital Engenharia S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Electropack Pesquisa e Desenvolvimento de Sistemas Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Laboratório de Patologia Bacchi Ltda;Medicina;Anatomia Patológica e Patologia Clínica
Vitex Agricultura e Pecuária Ltda;Engenharia Sanitária;Saneamento Ambiental
Mselli Engenharia e Consultoria Ltda;Engenharia Mecânica;Fenômenos de Transportes
;Engenharia Elétrica;Telecomunicações
Visionbr Tecnologia e Informática Ltda;Engenharia de Transportes;Veículos e Equipamentos de Controle
Serwein Informática Ltda. - ME;Engenharia Elétrica;Telecomunicações
Quality Performance Comércio e Serviços de Informática Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Biotech Biomédica Produtos Médicos e Odontológicos Ltda. - ME;Engenharia Biomédica;Bioengenharia
Nantex Nanotecnologia Experimental Ltda;Física;Física da Matéria Condensada
3T Biopolímeros Serviços de Pesquisa Ltda;Medicina;Cirurgia
Kayros Ambiental e Agrícola Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Adest Técnicas para Soldagem de Metais Ltda;Engenharia Mecânica;Processos de Fabricação
Synergie Tecnologia da Informação Ltda (Synergie);Ciência da Computação;Sistemas de Computação
Biomicrogen Soluções em Biotecnologia Ltda;Medicina Veterinária;Inspeção de Produtos de Origem Animal
Getesi Indústria de Equipamentos Eletrônicos e Sistemas Ltda. - ME;Engenharia Sanitária;Saneamento Básico
Organia Engenharia e Tecnologias Audiovisuais Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Sima Comércio e Serviços Ltda;Ciência da Computação;Sistemas de Computação
Recaltech Desenvolvimento em Metalurgia Ltda;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
W3FR Desenvolvimento e Manutenção de Software Ltda. - ME;Ciência da Computação;Sistemas de Computação
Innovatech Medical Ltda;Engenharia Biomédica;Bioengenharia
Aliança Orgânica Soluções Ambientais Ltda. - EPP;Engenharia Mecânica;Projetos de Máquinas
Sciranda de Projetos e Tecnologias Ltda;Engenharia Civil;Construção Civil
M A Ferrari Salto - ME;Física;Física da Matéria Condensada
Linkgen Biotecnologia Veterinária Ltda;Zootecnia;Genética e Melhoramento dos Animais Domésticos
Hexalab Consultoria em Análises Química Ltda (HEXALAB);Química;Química Analítica
Atenatec Soluções Tecnológicas Ltda. - ME;Ciência da Computação;Sistemas de Computação
